PATRON PRINCIPAL,CATEGORIA PRINCIPAL,CATEGORIA SECUNDARIA,Ejercicio,Ejercicio 2,Posicion,Esfuerzo,Nivel,Código Numérico,Dificultad Relativa,Ruta,Movilidad Relacionada A
PULL,CORE ANTERIOR,CORE ANTERIOR,BOAT TUCK,BOAT,TUCK,ISO.,alfa,1,1,FL,
PULL,CORE ANTERIOR,CORE ANTERIOR,BOAT TUCK,BOAT,TUCK,CON.,alfa,1,1,FL,
PULL,CORE ANTERIOR,PULL HORIZONTAL (BENT ARM),DF  TUCK,DF ,TUCK,ISO.,alfa,1,1,FL,
PULL,CORE ANTERIOR,PULL HORIZONTAL (BENT ARM),DF  INV,DF ,INV,ISO.,alfa,1,1,FL,
PULL,CORE ANTERIOR,CORE ANTERIOR,BOAT STR,BOAT,STR,ISO.,alfa,1,2,FL,
PULL,PULL VERTICAL,PULL VERTICAL (STRAIGHT ARM),HANG PASIVO VERTICAL,HANG PASIVO,VERTICAL,ISO.,alfa,1,2,FL,
PULL,CORE ANTERIOR,CORE ANTERIOR,BOAT STR,BOAT,STR,CON.,alfa,1,2,FL,
PULL,CORE ANTERIOR,CORE ANTERIOR,BOAT TO INV TUCK,BOAT TO INV,TUCK,CON.,alfa,1,2,FL,
PULL,PULL HORIZONTAL,PULL HORIZONTAL (BENT ARM),DF TO INV. PIKE,DF TO INV.,PIKE,EXC.,alfa,1,2,FL,
PULL,PULL HORIZONTAL,PULL HORIZONTAL (BENT ARM),DF  TUCK,DF ,TUCK,EXC.,alfa,1,2,FL,
PULL,PULL HORIZONTAL,PULL HORIZONTAL (BENT ARM),DF  ADV TUCK,DF ,ADV TUCK,ISO.,alfa,1,2,FL,
PULL,PULL HORIZONTAL,PULL HORIZONTAL (STRAIGHT ARM),DF SA TUCK,DF SA,TUCK,ISO.,alfa,1,2,FL,
PULL,PULL VERTICAL,PULL HORIZONTAL (STRAIGHT ARM),SCAPULA RETRAC. VERTICAL,SCAPULA RETRAC.,VERTICAL,CON.,alfa,1,3,FL,
PULL,PULL HORIZONTAL,PULL HORIZONTAL (BENT ARM),ICM BOX ASSISTED HORIZONTAL,ICM BOX ASSISTED,HORIZONTAL,EXC.,alfa,1,3,FL,
PULL,PULL VERTICAL,PULL VERTICAL (STRAIGHT ARM),HANG ACTIVO VERTICAL,HANG ACTIVO,VERTICAL,ISO.,alfa,1,3,FL,
PULL,PULL HORIZONTAL,PULL HORIZONTAL (BENT ARM),DF TO INV. PIKE,DF TO INV.,PIKE,CON.,alfa,1,3,FL,
PULL,CORE ANTERIOR,CORE ANTERIOR,BOAT FULL,BOAT,FULL,ISO.,alfa,1,3,FL,
PULL,CORE ANTERIOR,CORE ANTERIOR,BOAT FULL,BOAT,FULL,CON.,alfa,1,3,FL,
PULL,CORE ANTERIOR,CORE ANTERIOR,BOAT TO INV. FULL,BOAT TO INV.,FULL,CON.,alfa,1,3,FL,
PULL,PULL HORIZONTAL,PULL HORIZONTAL (STRAIGHT ARM),DF SA TUCK,DF SA,TUCK,EXC.,alfa,1,3,FL,
PULL,PULL HORIZONTAL,PULL HORIZONTAL (STRAIGHT ARM),DF SA ADV TUCK,DF SA,ADV TUCK,ISO.,alfa,1,3,FL,
PULL,PULL HORIZONTAL,PULL HORIZONTAL (BENT ARM),DF  TUCK,DF ,TUCK,CON.,alfa,1,3,FL,
PULL,PULL HORIZONTAL,PULL HORIZONTAL (BENT ARM),DF  ADV TUCK,DF ,ADV TUCK,EXC.,alfa,1,3,FL,
PULL,PULL HORIZONTAL,PULL HORIZONTAL (BENT ARM),DF  STR,DF ,STR,ISO.,alfa,1,3,FL,
PULL,CORE ANTERIOR,CORE ANTERIOR,BOAT FULL,BOAT,FULL,CON.,alfa,1,3,FL,
PULL,PULL HORIZONTAL,PULL HORIZONTAL (BENT ARM),ICM BOX ASSISTED HORIZONTAL,ICM BOX ASSISTED,HORIZONTAL,CON.,alfa,1,3,FL,
PULL,PULL HORIZONTAL,PULL HORIZONTAL (STRAIGHT ARM),DP TUCK,DP,TUCK,ISO.,delta,2,1,FL,
PULL,PULL VERTICAL,PULL VERTICAL (STRAIGHT ARM),SCAPULA RETRAC. TO 90 VERTICAL,SCAPULA RETRAC. TO 90,VERTICAL,CON.,delta,2,1,FL,
PULL,PULL HORIZONTAL,PULL HORIZONTAL (STRAIGHT ARM),DF SA TUCK,DF SA,TUCK,CON.,delta,2,1,FL,
PULL,PULL HORIZONTAL,PULL HORIZONTAL (STRAIGHT ARM),DF SA ADV TUCK,DF SA,ADV TUCK,EXC.,delta,2,1,FL,
PULL,PULL HORIZONTAL,PULL HORIZONTAL (BENT ARM),DF  ADV TUCK,DF ,ADV TUCK,CON.,delta,2,1,FL,
PULL,PULL HORIZONTAL,PULL HORIZONTAL (BENT ARM),DF  O.L,DF ,O.L,ISO.,delta,2,1,FL,
PULL,PULL HORIZONTAL,PULL HORIZONTAL (BENT ARM),ICM TUCK,ICM,TUCK,CON.,delta,2,1,FL,
PULL,PULL HORIZONTAL,PULL HORIZONTAL (STRAIGHT ARM),FL  TUCK,FL ,TUCK,ISO.,delta,2,1,FL,
PULL,PULL HORIZONTAL ,PULL HORIZONTAL (STRAIGHT ARM),FL PRESS  TUCK,FL PRESS ,TUCK,EXC.,delta,2,1,FL,
PULL,PULL HORIZONTAL,PULL HORIZONTAL (BENT ARM),DF STR,DF,STR,EXC.,delta,2,1,FL,
PULL,PULL HORIZONTAL,PULL HORIZONTAL (BENT ARM),DF SA STR,DF SA,STR,ISO.,delta,2,1,FL,
PULL,PULL HORIZONTAL,PULL HORIZONTAL (BENT ARM),DF  FULL,DF ,FULL,ISO.,delta,2,1,FL,
PULL,PULL HORIZONTAL,PULL HORIZONTAL (STRAIGHT ARM),ELBOW VICTORIAN  TUCK,ELBOW VICTORIAN ,TUCK,ISO.,delta,2,1,FL,
PULL,PULL HORIZONTAL,PULL HORIZONTAL (STRAIGHT ARM),DP  TUCK,DP ,TUCK,EXC.,delta,2,2,FL,
PULL,PULL HORIZONTAL,PULL HORIZONTAL (BENT ARM),YEWKIES  TUCK,YEWKIES ,TUCK,CON.,delta,2,2,FL,
PULL,PULL HORIZONTAL,PULL HORIZONTAL (STRAIGHT ARM),INV BAR ADV TUCK,INV BAR,ADV TUCK,ISO.,delta,2,2,FL,
PULL,PULL HORIZONTAL,PULL HORIZONTAL (BENT ARM),ICM  ADV TUCK,ICM ,ADV TUCK,CON.,delta,2,2,FL,
PULL,PULL HORIZONTAL ,PULL HORIZONTAL (STRAIGHT ARM),FL PRESS TUCK,FL PRESS,TUCK,CON.,delta,2,2,FL,
PULL,PULL HORIZONTAL ,PULL HORIZONTAL (STRAIGHT ARM),FL PRESS TO 90 TUCK,FL PRESS TO 90,TUCK,CON.,delta,2,2,FL,
PULL,PULL HORIZONTAL ,PULL HORIZONTAL (STRAIGHT ARM),FL PRESS 90 TO INV. TUCK,FL PRESS 90 TO INV.,TUCK,CON.,delta,2,2,FL,
PULL,PULL HORIZONTAL,PULL HORIZONTAL (STRAIGHT ARM),FL  ADV TUCK,FL ,ADV TUCK,ISO.,delta,2,2,FL,
PULL,PULL HORIZONTAL,PULL HORIZONTAL (STRAIGHT ARM),FL PRESS ADV TUCK,FL PRESS,ADV TUCK,EXC.,delta,2,2,FL,
PULL,PULL HORIZONTAL,PULL HORIZONTAL (STRAIGHT ARM),DF SA ADV TUCK,DF SA,ADV TUCK,CON.,delta,2,2,FL,
PULL,PULL HORIZONTAL,PULL HORIZONTAL (STRAIGHT ARM),DF SA HALF LAYOUT,DF SA,HALF LAYOUT,ISO.,delta,2,2,FL,
PULL,PULL HORIZONTAL,PULL HORIZONTAL (STRAIGHT ARM),DF SA STR,DF SA,STR,EXC.,delta,2,2,FL,
PULL,PULL HORIZONTAL,PULL HORIZONTAL (BENT ARM),DF STR,DF,STR,CON.,delta,2,2,FL,
PULL,PULL HORIZONTAL,PULL HORIZONTAL (BENT ARM),DF O.L,DF,O.L,CON.,delta,2,2,FL,
PULL,PULL HORIZONTAL,PULL HORIZONTAL (BENT ARM),DF FULL,DF,FULL,EXC.,delta,2,2,FL,
PULL,PULL HORIZONTAL,PULL HORIZONTAL (STRAIGHT ARM),ELBOW VICTORIAN  TUCK,ELBOW VICTORIAN ,TUCK,CON.,delta,2,2,FL,
PULL,PULL HORIZONTAL ,PULL HORIZONTAL (STRAIGHT ARM),FL  SUPER ADV ,FL ,SUPER ADV ,ISO.,delta,2,3,FL,
PULL,PULL HORIZONTAL,PULL HORIZONTAL (BENT ARM),YEWKIES ADV TUCK,YEWKIES,ADV TUCK,CON.,delta,2,3,FL,
PULL,PULL HORIZONTAL,PULL HORIZONTAL (STRAIGHT ARM),INV BAR STR,INV BAR,STR,ISO.,delta,2,3,FL,
PULL,PULL HORIZONTAL,PULL HORIZONTAL (BENT ARM),ICM STR,ICM,STR,CON.,delta,2,3,FL,
PULL,PULL HORIZONTAL,PULL HORIZONTAL (STRAIGHT ARM),FL PRESS ADV TUCK,FL PRESS,ADV TUCK,CON.,delta,2,3,FL,
PULL,PULL HORIZONTAL,PULL HORIZONTAL (STRAIGHT ARM),FL PRESS 90 TO INV. ADV TUCK,FL PRESS 90 TO INV.,ADV TUCK,CON.,delta,2,3,FL,
PULL,PULL HORIZONTAL,PULL HORIZONTAL (STRAIGHT ARM),FL PRESS TO 90 ADV TUCK,FL PRESS TO 90,ADV TUCK,CON.,delta,2,3,FL,
PULL,PULL HORIZONTAL,PULL HORIZONTAL (STRAIGHT ARM),ELBOW VICTORIAN TUCK,ELBOW VICTORIAN,TUCK,CON.,delta,2,3,FL,
PULL,PULL HORIZONTAL,PULL HORIZONTAL (STRAIGHT ARM),FL PRESS SUPER ADV,FL PRESS,SUPER ADV,EXC.,delta,2,3,FL,
PULL,PULL HORIZONTAL,PULL HORIZONTAL (STRAIGHT ARM),DP  TUCK,DP ,TUCK,CON.,delta,2,3,FL,
PULL,PULL HORIZONTAL,PULL HORIZONTAL (STRAIGHT ARM),DF SA FULL,DF SA,FULL,ISO.,delta,2,3,FL,
PULL,PULL HORIZONTAL,PULL HORIZONTAL (STRAIGHT ARM),DF SA HALF LAYOUT,DF SA,HALF LAYOUT,EXC.,delta,2,3,FL,
PULL,PULL HORIZONTAL,PULL HORIZONTAL (STRAIGHT ARM),DF SA STR,DF SA,STR,CON.,delta,2,3,FL,
PULL,PULL HORIZONTAL,PULL HORIZONTAL (STRAIGHT ARM),DF FULL,DF,FULL,CON.,delta,2,3,FL,
PULL,PULL HORIZONTAL,PULL HORIZONTAL (STRAIGHT ARM),INV BAR INV,INV BAR,INV,ISO.,delta,2,3,FL,
PULL,PULL HORIZONTAL,PULL HORIZONTAL (BENT ARM),YEWKIES SUPER ADV,YEWKIES,SUPER ADV,CON.,delta,2,3,FL,
PULL,PULL HORIZONTAL,PULL HORIZONTAL (STRAIGHT ARM),DF SA FULL,DF SA,FULL,EXC.,sigma,3,1,FL,
PULL,PULL HORIZONTAL,PULL HORIZONTAL (STRAIGHT ARM),DF SA HALF LAYOUT,DF SA,HALF LAYOUT,CON.,sigma,3,1,FL,
PULL,PULL HORIZONTAL,PULL HORIZONTAL (STRAIGHT ARM),DP SUPER ADV,DP,SUPER ADV,ISO.,sigma,3,1,FL,
PULL,PULL HORIZONTAL,PULL HORIZONTAL (STRAIGHT ARM),INV DEADLIFT STR,INV DEADLIFT,STR,CON.,sigma,3,1,FL,
PULL,PULL HORIZONTAL,PULL HORIZONTAL (STRAIGHT ARM),ELBOW VICTORIAN TUCK,ELBOW VICTORIAN,TUCK,ISO.,sigma,3,1,FL,
PULL,PULL HORIZONTAL,PULL HORIZONTAL (STRAIGHT ARM),ELBOW VICTORIAN ADV TUCK,ELBOW VICTORIAN,ADV TUCK,CON.,sigma,3,1,FL,
PULL,PULL HORIZONTAL,PULL HORIZONTAL (STRAIGHT ARM),DP ADV TUCK,DP,ADV TUCK,CON.,sigma,3,1,FL,
