Formato,Bloque,Nivel,Compatibilidad,Intensidad,Tipo
Accumulate X,Nucleus,Alfa,1,55,Volume-based
Accumulate X,Nucleus,Alfa,1,60,Volume-based
Accumulate X,Nucleus,Delta,1,55,Volume-based
Accumulate X,Nucleus,Delta,1,60,Volume-based
Accumulate X,Nucleus,Sigma,1,55,Volume-based
Accumulate X,Nucleus,Sigma,1,60,Volume-based
Accumulate X,Nucleus,Omega,1,55,Volume-based
Accumulate X,Nucleus,Omega,1,60,Volume-based
Accumulate X,Deuteros,Alfa,1,55,Volume-based
Accumulate X,Deuteros,Alfa,1,60,Volume-based
Accumulate X,Deuteros,Delta,1,55,Volume-based
Accumulate X,Deuteros,Delta,1,60,Volume-based
Accumulate X,Deuteros,Sigma,1,55,Volume-based
Accumulate X,Deuteros,Sigma,1,60,Volume-based
Accumulate X,Deuteros,Omega,1,55,Volume-based
Accumulate X,Deuteros,Omega,1,60,Volume-based
AMRAP,Nucleus,Alfa,1,55,Time-based
AMRAP,Nucleus,Alfa,1,60,Time-based
AMRAP,Nucleus,Alfa,1,65,Time-based
AMRAP,Nucleus,Alfa,1,70,Time-based
AMRAP,Nucleus,Delta,1,55,Time-based
AMRAP,Nucleus,Delta,1,60,Time-based
AMRAP,Nucleus,Delta,1,65,Time-based
AMRAP,Nucleus,Delta,1,70,Time-based
AMRAP,Nucleus,Sigma,1,55,Time-based
AMRAP,Nucleus,Sigma,1,60,Time-based
AMRAP,Nucleus,Sigma,1,65,Time-based
AMRAP,Nucleus,Sigma,1,70,Time-based
AMRAP,Nucleus,Omega,1,55,Time-based
AMRAP,Nucleus,Omega,1,60,Time-based
AMRAP,Nucleus,Omega,1,65,Time-based
AMRAP,Nucleus,Omega,1,70,Time-based
AMRAP,Deuteros,Alfa,2,55,Time-based
AMRAP,Deuteros,Alfa,2,60,Time-based
AMRAP,Deuteros,Alfa,2,65,Time-based
AMRAP,Deuteros,Alfa,2,70,Time-based
AMRAP,Deuteros,Delta,1,55,Time-based
AMRAP,Deuteros,Delta,1,60,Time-based
AMRAP,Deuteros,Delta,1,65,Time-based
AMRAP,Deuteros,Delta,1,70,Time-based
AMRAP,Deuteros,Sigma,1,55,Time-based
AMRAP,Deuteros,Sigma,1,60,Time-based
AMRAP,Deuteros,Sigma,1,65,Time-based
AMRAP,Deuteros,Sigma,1,70,Time-based
AMRAP,Deuteros,Omega,1,55,Time-based
AMRAP,Deuteros,Omega,1,60,Time-based
AMRAP,Deuteros,Omega,1,65,Time-based
AMRAP,Deuteros,Omega,1,70,Time-based
AMRAP,Athlos,Alfa,2,55,Time-based
AMRAP,Athlos,Alfa,2,60,Time-based
AMRAP,Athlos,Alfa,2,65,Time-based
AMRAP,Athlos,Alfa,2,70,Time-based
AMRAP,Athlos,Delta,1,55,Time-based
AMRAP,Athlos,Delta,1,60,Time-based
AMRAP,Athlos,Delta,1,65,Time-based
AMRAP,Athlos,Delta,1,70,Time-based
AMRAP,Athlos,Sigma,1,55,Time-based
AMRAP,Athlos,Sigma,1,60,Time-based
AMRAP,Athlos,Sigma,1,65,Time-based
AMRAP,Athlos,Sigma,1,70,Time-based
AMRAP,Athlos,Omega,1,55,Time-based
AMRAP,Athlos,Omega,1,60,Time-based
AMRAP,Athlos,Omega,1,65,Time-based
AMRAP,Athlos,Omega,1,70,Time-based
AMRAP,Epikos,Alfa,2,55,Time-based
AMRAP,Epikos,Alfa,2,60,Time-based
AMRAP,Epikos,Alfa,2,65,Time-based
AMRAP,Epikos,Alfa,2,70,Time-based
AMRAP,Epikos,Delta,2,55,Time-based
AMRAP,Epikos,Delta,2,60,Time-based
AMRAP,Epikos,Delta,2,65,Time-based
AMRAP,Epikos,Delta,2,70,Time-based
AMRAP,Epikos,Sigma,1,55,Time-based
AMRAP,Epikos,Sigma,1,60,Time-based
AMRAP,Epikos,Sigma,1,65,Time-based
AMRAP,Epikos,Sigma,1,70,Time-based
AMRAP,Epikos,Omega,1,55,Time-based
AMRAP,Epikos,Omega,1,60,Time-based
AMRAP,Epikos,Omega,1,65,Time-based
AMRAP,Epikos,Omega,1,70,Time-based
AMRAP Series,Nucleus,Alfa,1,55,Time-based
AMRAP Series,Nucleus,Alfa,1,60,Time-based
AMRAP Series,Nucleus,Alfa,1,65,Time-based
AMRAP Series,Nucleus,Alfa,1,70,Time-based
AMRAP Series,Nucleus,Alfa,1,75,Time-based
AMRAP Series,Nucleus,Alfa,1,80,Time-based
AMRAP Series,Nucleus,Delta,1,55,Time-based
AMRAP Series,Nucleus,Delta,1,60,Time-based
AMRAP Series,Nucleus,Delta,1,65,Time-based
AMRAP Series,Nucleus,Delta,1,70,Time-based
AMRAP Series,Nucleus,Delta,1,75,Time-based
AMRAP Series,Nucleus,Delta,1,80,Time-based
AMRAP Series,Nucleus,Sigma,1,55,Time-based
AMRAP Series,Nucleus,Sigma,1,60,Time-based
AMRAP Series,Nucleus,Sigma,1,65,Time-based
AMRAP Series,Nucleus,Sigma,1,70,Time-based
AMRAP Series,Nucleus,Sigma,1,75,Time-based
AMRAP Series,Nucleus,Sigma,1,80,Time-based
AMRAP Series,Nucleus,Omega,1,55,Time-based
AMRAP Series,Nucleus,Omega,1,60,Time-based
AMRAP Series,Nucleus,Omega,1,65,Time-based
AMRAP Series,Nucleus,Omega,1,70,Time-based
AMRAP Series,Nucleus,Omega,1,75,Time-based
AMRAP Series,Nucleus,Omega,1,80,Time-based
AMRAP Series,Deuteros,Alfa,2,55,Time-based
AMRAP Series,Deuteros,Alfa,2,60,Time-based
AMRAP Series,Deuteros,Alfa,2,65,Time-based
AMRAP Series,Deuteros,Alfa,2,70,Time-based
AMRAP Series,Deuteros,Alfa,2,75,Time-based
AMRAP Series,Deuteros,Alfa,2,80,Time-based
AMRAP Series,Deuteros,Delta,1,55,Time-based
AMRAP Series,Deuteros,Delta,1,60,Time-based
AMRAP Series,Deuteros,Delta,1,65,Time-based
AMRAP Series,Deuteros,Delta,1,70,Time-based
AMRAP Series,Deuteros,Delta,1,75,Time-based
AMRAP Series,Deuteros,Delta,1,80,Time-based
AMRAP Series,Deuteros,Sigma,1,55,Time-based
AMRAP Series,Deuteros,Sigma,1,60,Time-based
AMRAP Series,Deuteros,Sigma,1,65,Time-based
AMRAP Series,Deuteros,Sigma,1,70,Time-based
AMRAP Series,Deuteros,Sigma,1,75,Time-based
AMRAP Series,Deuteros,Sigma,1,80,Time-based
AMRAP Series,Deuteros,Omega,1,55,Time-based
AMRAP Series,Deuteros,Omega,1,60,Time-based
AMRAP Series,Deuteros,Omega,1,65,Time-based
AMRAP Series,Deuteros,Omega,1,70,Time-based
AMRAP Series,Deuteros,Omega,1,75,Time-based
AMRAP Series,Deuteros,Omega,1,80,Time-based
AMRAP Series,Athlos,Alfa,2,55,Time-based
AMRAP Series,Athlos,Alfa,2,60,Time-based
AMRAP Series,Athlos,Alfa,2,65,Time-based
AMRAP Series,Athlos,Alfa,2,70,Time-based
AMRAP Series,Athlos,Alfa,2,75,Time-based
AMRAP Series,Athlos,Alfa,2,80,Time-based
AMRAP Series,Athlos,Delta,1,55,Time-based
AMRAP Series,Athlos,Delta,1,60,Time-based
AMRAP Series,Athlos,Delta,1,65,Time-based
AMRAP Series,Athlos,Delta,1,70,Time-based
AMRAP Series,Athlos,Delta,1,75,Time-based
AMRAP Series,Athlos,Delta,1,80,Time-based
AMRAP Series,Athlos,Sigma,1,55,Time-based
AMRAP Series,Athlos,Sigma,1,60,Time-based
AMRAP Series,Athlos,Sigma,1,65,Time-based
AMRAP Series,Athlos,Sigma,1,70,Time-based
AMRAP Series,Athlos,Sigma,1,75,Time-based
AMRAP Series,Athlos,Sigma,1,80,Time-based
AMRAP Series,Athlos,Omega,1,55,Time-based
AMRAP Series,Athlos,Omega,1,60,Time-based
AMRAP Series,Athlos,Omega,1,65,Time-based
AMRAP Series,Athlos,Omega,1,70,Time-based
AMRAP Series,Athlos,Omega,1,75,Time-based
AMRAP Series,Athlos,Omega,1,80,Time-based
AMRAP Series,Epikos,Alfa,2,55,Time-based
AMRAP Series,Epikos,Alfa,2,60,Time-based
AMRAP Series,Epikos,Alfa,2,65,Time-based
AMRAP Series,Epikos,Alfa,2,70,Time-based
AMRAP Series,Epikos,Alfa,2,75,Time-based
AMRAP Series,Epikos,Alfa,2,80,Time-based
AMRAP Series,Epikos,Delta,2,55,Time-based
AMRAP Series,Epikos,Delta,2,60,Time-based
AMRAP Series,Epikos,Delta,2,65,Time-based
AMRAP Series,Epikos,Delta,2,70,Time-based
AMRAP Series,Epikos,Delta,2,75,Time-based
AMRAP Series,Epikos,Delta,2,80,Time-based
AMRAP Series,Epikos,Sigma,1,55,Time-based
AMRAP Series,Epikos,Sigma,1,60,Time-based
AMRAP Series,Epikos,Sigma,1,65,Time-based
AMRAP Series,Epikos,Sigma,1,70,Time-based
AMRAP Series,Epikos,Sigma,1,75,Time-based
AMRAP Series,Epikos,Sigma,1,80,Time-based
AMRAP Series,Epikos,Omega,1,55,Time-based
AMRAP Series,Epikos,Omega,1,60,Time-based
AMRAP Series,Epikos,Omega,1,65,Time-based
AMRAP Series,Epikos,Omega,1,70,Time-based
AMRAP Series,Epikos,Omega,1,75,Time-based
AMRAP Series,Epikos,Omega,1,80,Time-based
Benchmark,Deuteros,Delta,2,80,Structure-based
Benchmark,Deuteros,Delta,2,85,Structure-based
Benchmark,Deuteros,Delta,2,90,Structure-based
Benchmark,Deuteros,Sigma,1,80,Structure-based
Benchmark,Deuteros,Sigma,1,85,Structure-based
Benchmark,Deuteros,Sigma,1,90,Structure-based
Benchmark,Deuteros,Omega,1,80,Structure-based
Benchmark,Deuteros,Omega,1,85,Structure-based
Benchmark,Deuteros,Omega,1,90,Structure-based
Benchmark,Athlos,Alfa,3,80,Structure-based
Benchmark,Athlos,Alfa,3,85,Structure-based
Benchmark,Athlos,Alfa,3,90,Structure-based
Benchmark,Athlos,Delta,2,80,Structure-based
Benchmark,Athlos,Delta,2,85,Structure-based
Benchmark,Athlos,Delta,2,90,Structure-based
Benchmark,Athlos,Sigma,1,80,Structure-based
Benchmark,Athlos,Sigma,1,85,Structure-based
Benchmark,Athlos,Sigma,1,90,Structure-based
Benchmark,Athlos,Omega,1,80,Structure-based
Benchmark,Athlos,Omega,1,85,Structure-based
Benchmark,Athlos,Omega,1,90,Structure-based
Benchmark WOD,Nucleus,Delta,2,55,Structure-based
Benchmark WOD,Nucleus,Delta,2,60,Structure-based
Benchmark WOD,Nucleus,Sigma,2,55,Structure-based
Benchmark WOD,Nucleus,Sigma,2,60,Structure-based
Benchmark WOD,Nucleus,Omega,1,55,Structure-based
Benchmark WOD,Nucleus,Omega,1,60,Structure-based
Benchmark WOD,Athlos,Alfa,3,55,Structure-based
Benchmark WOD,Athlos,Alfa,3,60,Structure-based
Benchmark WOD,Athlos,Delta,2,55,Structure-based
Benchmark WOD,Athlos,Delta,2,60,Structure-based
Benchmark WOD,Athlos,Sigma,1,55,Structure-based
Benchmark WOD,Athlos,Sigma,1,60,Structure-based
Benchmark WOD,Athlos,Omega,1,55,Structure-based
Benchmark WOD,Athlos,Omega,1,60,Structure-based
Broken Ladder,Nucleus,Alfa,3,60,Hybrid
Broken Ladder,Nucleus,Alfa,3,65,Hybrid
Broken Ladder,Nucleus,Alfa,3,70,Hybrid
Broken Ladder,Nucleus,Alfa,3,75,Hybrid
Broken Ladder,Nucleus,Alfa,3,80,Hybrid
Broken Ladder,Nucleus,Delta,2,60,Hybrid
Broken Ladder,Nucleus,Delta,2,65,Hybrid
Broken Ladder,Nucleus,Delta,2,70,Hybrid
Broken Ladder,Nucleus,Delta,2,75,Hybrid
Broken Ladder,Nucleus,Delta,2,80,Hybrid
Broken Ladder,Nucleus,Sigma,1,60,Hybrid
Broken Ladder,Nucleus,Sigma,1,65,Hybrid
Broken Ladder,Nucleus,Sigma,1,70,Hybrid
Broken Ladder,Nucleus,Sigma,1,75,Hybrid
Broken Ladder,Nucleus,Sigma,1,80,Hybrid
Broken Ladder,Nucleus,Omega,1,60,Hybrid
Broken Ladder,Nucleus,Omega,1,65,Hybrid
Broken Ladder,Nucleus,Omega,1,70,Hybrid
Broken Ladder,Nucleus,Omega,1,75,Hybrid
Broken Ladder,Nucleus,Omega,1,80,Hybrid
Broken Ladder,Athlos,Delta,2,60,Hybrid
Broken Ladder,Athlos,Delta,2,65,Hybrid
Broken Ladder,Athlos,Delta,2,70,Hybrid
