,,,,,,,,,,,,,,,,,,,,,,,,,,
,Información General,,,,,,,,,,,,,,,,,,,,,,,,,
 ,FECHA,SEMANA,DÍA,PROFESOR,,,,,,,,,,,,,,,,,,,,,,
,22/12/2025,19,Lunes,Ignacio Bordon,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,Planificación por Nivel,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,Alfa y Delta,,,,,,,Sigma,,,,,,,Omega,,,,,,,,,,,
,Semana,Día,Nucleus,Deuteros 1,Deuteros 2,Athlos/Epikos,,Semana,Día,Nucleus,Deuteros 1,Deuteros 2,Athlos/Epikos,,Semana,Día,Nucleus,Deuteros 1,Deuteros 2,Athlos/Epikos,,,,,,
,19,Lunes,FL,DS,HSPU,PS,,19,Lunes,FL,OAP,DS,HT,,19,Lunes,FL,OAP,HSPU,MN/RP,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ruta,Intensidad,Patrón Activo,,,Intensidad,Reps por Bloque,Dificultad,Ejercicios por Bloque,,Intensidad,Total Ejercicios,Concentrico,Excentrico,Isometrico,,,,,,,,,,,
,FL,95,FL,,,95,10,Nivel Superior 1,2 a 3,,65,3,1,1,1,,,,,,,,,,,
,DS,65,General Lower (Hip + Knee),,,65,120,2,3 a 5,,65,4,2,1,1,,,,,,,,,,,
,HSPU,95,HSPU,,,,,,,,65,5,2,2,1,,,,,,,,,,,
,PS,95,Pistol Squat,,,,,,,,95,2,0,0,2,,,,,,,,,,,
,OAP,65,General Pull (horizontal + vertical),,,,,,,,95,3,1,1,1,,,,,,,,,,,
,HT,65,General Lower (Hip + Knee),,,,,,,,,,,,,,,,,,,,,,,
,MN/RP,65,General Pull (horizontal + vertical),,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Ejercicios por Nivel,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Por favor en caso de corresponder completar la información de estas columnas,,,,,,,,,,,,,,,,Formatos,,,
Nivel Real,Bloque,Nivel,Ruta,Patrón,Categoría,Categoría Secundaria,Dificultad,Esfuerzo,Ejercicio,Esfuerzo Manual,Carga,Rep. Min,Rep. Max,Escalera,Duración,Descanso,Formato,Formato Vueltas,Formato Duración,Observaciones,Promedio Dificultad,,Bloque,Nivel,Compatibilidad,Intensidad
all,Initium,,,FLOW,,,,,CRAB REACH  ,,,,,,,,Tabata,4,"20""x10""",,,,Initium,Delta,1,80
all,Initium,,,FLOW,,,,,BEAST WALK  ,,,,,,,,,,,,,,,,,
all,Initium,,,,,,,,,,,,,,,,,,,,,,Listado,,,
all,Initium,,,,,,,,,,,,,,,,,,,,,,EMOM,,,
all,Initium,,,,,,,,,,,,,,,,,,,,, ,HIIT,,,
alfa,Nucleus,delta,FL,,,,,,,,,,,,,entre cada ejercicio 1 minuto,AMRAP Series,3,4,,1.00,,Interval Training,,,
alfa,Nucleus,delta,FL,,,,,,,,,,,,,,,,,,,,Tabata,,,
alfa,Nucleus,delta,FL,,,,,,,,,,,,,,,,,,,,,,,
alfa,Nucleus,delta,FL,,,,1,ISO.,DF  FULL,,,,,,6'',,,,,,,,,,,
alfa,Nucleus,delta,FL,,,,1,CON.,ICM TUCK,,,,3,,,,,,,,,,,,,
alfa,Nucleus,delta,FL,,,,1,EXC.,FL PRESS  TUCK,,,,2,,,,,,,,,,,,,
delta,Nucleus,sigma,FL,,,,3,ISO.,,,,,,,,entre cada ejercicio 1 minuto,,,,,2.00,,,,,
delta,Nucleus,sigma,FL,,,,3,CON.,,,,,,,,,,,,,,,,,,
