,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Información General,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,FECHA,SEMANA,PROFESOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,22/12/2025,19,Ignacio Bordon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,LUNES,,,,,,,,,,,,,,,,,MARTES,,,,,,,,,,,,,,,,,MIERCOLES,,,,,,,,,,,,,,,,,JUEVES,,,,,,,,,,,,,,,,,VIERNES,,,,,,,,,,,,,,,,,SABADO,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Alfa y Delta,,,,,Sigma,,,,,Omega,,,,,,,Alfa y Delta,,,,,Sigma,,,,,Omega,,,,,,,Alfa y Delta,,,,,Sigma,,,,,Omega,,,,,,,Alfa y Delta,,,,,Sigma,,,,,Omega,,,,,,,Alfa y Delta,,,,,Sigma,,,,,Omega,,,,,,,Alfa y Delta,,,,,Sigma,,,,,Omega,,,,,
,,,Bloque,Ruta,Ruta Nombre,Intensidad,,Bloque,Ruta,Ruta Nombre,Intensidad,,Bloque,Ruta,Ruta Nombre,Intensidad,,,,Bloque,Ruta,Ruta Nombre,Intensidad,,Bloque,Ruta,Ruta Nombre,Intensidad,,Bloque,Ruta,Ruta Nombre,Intensidad,,,,Bloque,Ruta,Ruta Nombre,Intensidad,,Bloque,Ruta,Ruta Nombre,Intensidad,,Bloque,Ruta,Ruta Nombre,Intensidad,,,,Bloque,Ruta,Ruta Nombre,Intensidad,,Bloque,Ruta,Ruta Nombre,Intensidad,,Bloque,Ruta,Ruta Nombre,Intensidad,,,,Bloque,Ruta,Ruta Nombre,Intensidad,,Bloque,Ruta,Ruta Nombre,Intensidad,,Bloque,Ruta,Ruta Nombre,Intensidad,,,,Bloque,Ruta,Ruta Nombre,Intensidad,,Bloque,Ruta,Ruta Nombre,Intensidad,,Bloque,Ruta,Ruta Nombre,Intensidad,,
,,,Nucleus,FL,Front Lever 95%,95%,,Nucleus,FL,Front Lever 95%,95%,,Nucleus,FL,Front Lever 95%,95%,,,,Nucleus,SU,Step Up 95%,95%,,Nucleus,HSPU,Handstand Push Up 95%,95%,,Nucleus,QC,Quad Curl 65%,65%,,,,Nucleus,PL,Planche 95%,95%,,Nucleus,L,Lunge 75%,75%,,Nucleus,PLPU,Planche Push Up 65%,65%,,,,Nucleus,FLR,Front Lever Row 65%,65%,,Nucleus,SU,Step Up 95%,95%,,Nucleus,HT,Hip Thrust 65%,65%,,,,Nucleus,SU,Step Up 95%,95%,,Nucleus,MU,Muscle Up 65%,65%,,Nucleus,FLR,Front Lever Row 65%,65%,,,,Nucleus,MN/RP,Manna / Reverse Planche 65%,65%,,Nucleus,QC,Quad Curl 65%,65%,,Nucleus,SU,Step Up 95%,95%,,
,,,Deuteros 1,DS,Dragon Squat 65%,65%,,Deuteros 1,OAP,One Arm Pull Up 65%,65%,,Deuteros 1,OAP,One Arm Pull Up 65%,65%,,,,Deuteros 1,TTB,Toe to Bar 95%,95%,,Deuteros 1,PL,Planche 95%,95%,,Deuteros 1,PS,Pistol Squat 95%,95%,,,,Deuteros 1,L,Lunge 75%,75%,,Deuteros 1,SU,Step Up 95%,95%,,Deuteros 1,PHS,Press Handstand 65%,65%,,,,Deuteros 1,PHS,Press Handstand 65%,65%,,Deuteros 1,NC,Nordic Curl 75%,75%,,Deuteros 1,NC,Nordic Curl 75%,75%,,,,Deuteros 1,PL,Planche 95%,95%,,Deuteros 1,MN/RP,Manna / Reverse Planche 65%,65%,,Deuteros 1,MU,Muscle Up 65%,65%,,,,Deuteros 1,HT,Hip Thrust 65%,65%,,Deuteros 1,PS,Pistol Squat 95%,95%,,Deuteros 1,QC,Quad Curl 65%,65%,,
